#m    alpha    beta    gamma    den_form   den_max
0     1.0000000000000000     1.0000000000000000     0.00011216493366444480     0.5513161460542432    0.4278435067098151
1     1.1518788097634658     1.022867962104321      0.00013382964354216630     0.5783783440908588    0.5532291888824020
2     1.2560912121771062     0.9776869815220219     0.00017646769088473160     0.5789941806888450    0.5522167461941456
3     1.8362173183503006     0.9359424463809444     0.00020869672546191225     0.6351735933440796    0.5630608055280839
4     2.0092672872207733     0.5609028711173185     0.00014111011044560040     0.5065543344805014    0.5785525884646299

