#m    alpha    beta    gamma    den_form   den_max
0     1.0000000000000000     1.00000000000000000    0.00052870107576795780     0.5513510942412920     0.4762886937636043
1     1.0999999999999892     0.89488548784835310    0.00117835335657234100     0.5344279155467970     0.6010792374434668
2     1.2999999951312742     1.04146576130181830    0.00102511604114447210     0.6033678601764213     0.5591542042606210
3     2.141379595306975      0.60061802739440470    0.00056133183285613260     0.5355264005044342     0.5355264005044342
4     1.0019771596028726     0.94401496701167350    0.00075222910889152450     0.5359394556447546     0.6154601800021563
